draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id
0,Tom,--,Aaron,3,--,,"93fe7332d16c6ad9""",155 lbs.,5,0
0,Danny,"5' 11""",Abbadi,6,--,Orthodox,"15df64c02b6b0fde""",155 lbs.,4,1
0,David,"6' 0""",Abbott,14,--,Switch,"b361180739bed4b0""",265 lbs.,10,2
0,Shamil,"6' 3""",Abdurakhimov,4,"76.0""",Orthodox,"2f5cbecbbe18bac4""",235 lbs.,18,3
3,Hiroyuki,"5' 6""",Abe,14,--,Orthodox,"c0ed7b208197e8de""",145 lbs.,8,4
0,Daichi,"5' 11""",Abe,1,"71.0""",Orthodox,"5140122c3eecd307""",170 lbs.,6,5
0,Papy,"5' 11""",Abedi,3,"74.0""",Southpaw,"c9f6385af6df66d7""",185 lbs.,9,6
0,Ricardo,"5' 11""",Abreu,3,"73.0""",Orthodox,"aa6e591c2a2cdecd""",185 lbs.,5,7
0,Daniel,"5' 8""",Acacio,12,--,Orthodox,"1c5879330d42255f""",180 lbs.,26,8
0,Scott,"6' 0""",Adams,1,--,Southpaw,"2620f3eb21c79614""",225 lbs.,8,9
0,Israel,"6' 4""",Adesanya,0,"80.0""",Switch,"1338e2c7480bdf9e""",185 lbs.,13,10
2,Sam,"6' 3""",Adkins,20,--,Orthodox,"0e9869d712e81f8f""",225 lbs.,7,11
0,Nick,"5' 8""",Agallar,6,--,Orthodox,"ebc5af72ad5a28cb""",155 lbs.,24,12
1,Marcelo,"5' 10""",Aguiar,3,--,Orthodox,"44aa652b181bcf68""",170 lbs.,2,13
0,Edwin,"5' 10""",Aguilar,16,--,,"6cadc0a0ba7dc015""",185 lbs.,22,14
0,Jessica,"5' 3""",Aguilar,6,"63.0""",Orthodox,"8f382b3baa954d2a""",115 lbs.,19,15
1,Mike,"5' 9""",Aina,6,--,Orthodox,"9e3dbb9c68ed5d1a""",155 lbs.,12,16
0,Hitomi,"5' 4""",Akano,8,--,Southpaw,"2eada40ac8801559""",135 lbs.,18,17
1,Omari,"6' 0""",Akhmedov,4,"73.0""",Orthodox,"16690d100f995f8f""",185 lbs.,17,18
0,Yoshihiro,"5' 10""",Akiyama,6,"73.0""",Orthodox,"b0550072e5f0afa7""",170 lbs.,14,19
0,Razak,"6' 2""",Al-Hassan,5,--,Orthodox,"38b50fd1e1b5b656""",205 lbs.,11,20
0,Mostapha,"6' 2""",Al-Turk,6,"77.0""",Orthodox,"1cf1310684a841f5""",245 lbs.,6,21
0,Javi,"5' 6""",Alanis,3,--,,"2144954270be834d""",135 lbs.,0,22
0,Brett,--,Albee,1,--,,"9b28292abe3166d5""",225 lbs.,3,23
0,John,"5' 8""",Albert,5,"68.0""",,"7bd94b60d7521e4a""",135 lbs.,7,24
0,Junior,"6' 3""",Albini,3,"74.0""",Orthodox,"c482c8605455a213""",264 lbs.,14,25
0,Wes,"5' 10""",Albritton,1,--,Orthodox,"184b955181bdef52""",188 lbs.,0,26
0,Alexandra,"5' 2""",Albu,0,"63.0""",Orthodox,"e76d9f656ceb82ab""",115 lbs.,7,27
0,Israel,--,Albuquerque,3,--,Orthodox,"dd1b90eea08887f6""",185 lbs.,0,28
0,Juan,--,Alcain,2,--,,"39f62b833e4cf126""",--,1,29
0,Iuri,"5' 9""",Alcantara,9,"71.0""",Southpaw,"2f95a3c6d58b2aad""",135 lbs.,35,30
0,Ildemar,"6' 2""",Alcantara,8,"78.0""",Orthodox,"7c6e87729e824ef4""",185 lbs.,21,31
1,Alfonso,"5' 3""",Alcarez,3,--,,"1e38bba6738b7b10""",145 lbs.,1,32
0,Gilbert,"6' 1""",Aldana,2,--,Orthodox,"d26934530dc5b248""",250 lbs.,6,33
0,Irene,"5' 9""",Aldana,4,"68.0""",Orthodox,"578ef12674df1e6a""",135 lbs.,8,34
0,Jose,"5' 7""",Aldo,4,"70.0""",Orthodox,"d0f3959b4a9747e6""",145 lbs.,26,35
